2026-03-16 13:54:46 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | Requisição (tentativa 1): https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='3'&$format=json&$top=10000&$skip=20000
2026-03-16 13:55:02 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='3'&$format=json&$top=10000&$skip=20000
2026-03-16 13:55:02 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório 3, período=202506, tipo=2, página=3, linhas=10000
2026-03-16 13:55:02 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | Requisição (tentativa 1): https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='3'&$format=json&$top=10000&$skip=30000
2026-03-16 13:55:17 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='3'&$format=json&$top=10000&$skip=30000
2026-03-16 13:55:17 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório 3, período=202506, tipo=2, página=4, linhas=228
2026-03-16 13:55:17 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório extraído: período=202506, tipo=2, relatório=3, linhas_totais=30228
2026-03-16 13:55:17 | INFO     | bank_credit_pipeline.probe |    30228 linhas, 10 colunas, tipo usado=2
2026-03-16 13:55:17 | INFO     | bank_credit_pipeline.probe |    Relatório 'dre' (código=4)...
2026-03-16 13:55:17 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | Requisição (tentativa 1): https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='4'&$format=json&$top=10000
2026-03-16 13:55:38 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='4'&$format=json&$top=10000
2026-03-16 13:55:38 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório 4, período=202506, tipo=2, página=1, linhas=10000
2026-03-16 13:55:38 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | Requisição (tentativa 1): https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='4'&$format=json&$top=10000&$skip=10000
2026-03-16 13:55:57 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='4'&$format=json&$top=10000&$skip=10000
2026-03-16 13:55:57 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório 4, período=202506, tipo=2, página=2, linhas=10000
2026-03-16 13:55:57 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | Requisição (tentativa 1): https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='4'&$format=json&$top=10000&$skip=20000
2026-03-16 13:56:16 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='4'&$format=json&$top=10000&$skip=20000
2026-03-16 13:56:16 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório 4, período=202506, tipo=2, página=3, linhas=10000
