CodInst,Data,NomeInstituicao,DataInicioAtividade,Tcb,Td,Tc,SegmentoTb,Atividade,Uf,Municipio,Sr,CodConglomeradoFinanceiro,CodConglomeradoPrudencial,CnpjInstituicaoLider,Situacao
08574988,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE CONTENDA - CRESOL CONTENDA,200704,B3S,I,2,Cooperativa de Crédito,,PR,Contenda,,,,,I
07286011,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE CORONEL DOMINGOS SOARES - CRESOL CORONEL DOMINGOS SOARES,200504,B3S,I,2,Cooperativa de Crédito,,PR,Coronel Domingos Soares,,,,,I
08812388,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ENÉAS MARQUES - CRESOL ENÉAS MARQUES,200706,B3S,I,2,Cooperativa de Crédito,,PR,Enéas Marques,,,,,I
02698001,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE FRANCISCO BELTRAO - CRESOL FRANCISCO BELTRAO,199808,B3S,I,2,Cooperativa de Crédito,,PR,Francisco Beltrão,,,,,I
06890201,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE FREI ROGÉRIO - CRESOL FREI ROGÉRIO,200409,B3S,I,2,Cooperativa de Crédito,,SC,Frei Rogério,,,,,I
05121687,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE GUARANIAÇU - CRESOL GUARANIAÇU,200207,B3S,I,2,Cooperativa de Crédito,,PR,Guaraniaçu,,,,,I
02565350,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE HONORIO SERPA - CRESOL HONORIO SERPA,199807,B3S,I,2,Cooperativa de Crédito,,PR,Honório Serpa,,,,,I
11239236,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE IBAITI - CRESOL IBAITI,201003,B3S,I,2,Cooperativa de Crédito,,PR,Ibaiti,,,,,I
07519375,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE IMARUÍ - CRESOL IMARUÍ,200508,B3S,I,2,Cooperativa de Crédito,,SC,Imaruí,,,,,I
04973378,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE ITAPEJARA D`OESTE - CRESOL ITAPEJARA D`OESTE,200205,B3S,I,2,Cooperativa de Crédito,,PR,Itapejara d'Oeste,S5,,,,I
04496867,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE ITAPERUÇU - CRESOL ITAPERUÇU,200107,B3S,I,2,Cooperativa de Crédito,,PR,Itaperuçu,,,,,I
10514580,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE JARU - CRESOL JARU,200902,B3S,I,2,Cooperativa de Crédito,,RO,Jaru,,,,,I
01086342,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE LARANJEIRAS DO SUL - CRESOL LARANJEIRAS DO SUL,199603,B3S,I,2,Cooperativa de Crédito,,PR,Laranjeiras do Sul,,,,,I
03013889,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE LINDOESTE - CRESOL LINDOESTE,199904,B3S,I,2,Cooperativa de Crédito,,PR,Lindoeste,,,,,I
07211698,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE LONDRINA - CRESOL LONDRINA,200504,B3S,I,2,Cooperativa de Crédito,,PR,Londrina,,,,,I
02961072,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE MANGUEIRINHA - CRESOL MANGUEIRINHA,199903,B3S,I,2,Cooperativa de Crédito,,PR,Mangueirinha,S5,,,,I
11212010,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE MARILENA - CRESOL MARILENA,200911,B3S,I,2,Cooperativa de Crédito,,PR,Marilena,,,,,I
00971297,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE MARMELEIRO - CRESOL MARMELEIRO,199602,B3S,I,2,Cooperativa de Crédito,,PR,Marmeleiro,,,,,I
08850098,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE MEDIANEIRA - CRESOL MEDIANEIRA,200707,B3S,I,2,Cooperativa de Crédito,,PR,Medianeira,,,,,I
10514648,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE MINISTRO ANDREAZZA   CRESOL ANDREAZZA,200901,B3S,I,2,Cooperativa de Crédito,,RO,Ministro Andreazza,,,,,I
08850180,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE MISSAL - CRESOL MISSAL,200707,B3S,I,2,Cooperativa de Crédito,,PR,Missal,,,,,I
11369294,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE NOVA ESPERANÇA - CRESOL NOVA ESPERANÇA,201001,B3S,I,2,Cooperativa de Crédito,,PR,Nova Esperança,,,,,I
07926510,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE NOVA ESPERANÇA DO SUDOESTE - CRESOL NOVA ESPERANÇA DO SUDOESTE,200606,B3S,I,2,Cooperativa de Crédito,,PR,Nova Esperança do Sudoeste,,,,,I
03014407,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE NOVA PRATA DO IGUACU - CRESOL NOVA PRATA DO IGUACU,199902,B3S,I,2,Cooperativa de Crédito,,PR,Nova Prata do Iguaçu,,,,,I
08087331,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE OURICURI - CRESOL ARARIPE,200606,B3S,I,2,Cooperativa de Crédito,,PE,Ouricuri,,,,,I
11346312,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE PARANACITY - CRESOL PARANACITY,201003,B3S,I,2,Cooperativa de Crédito,,PR,Paranacity,,,,,I
05413161,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE PETROLINA   CRESOL PETROLINA,200307,B3S,I,2,Cooperativa de Crédito,,PE,Petrolina,,,,,I
01276398,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE PINHAO - CRESOL PINHAO,199603,B3S,I,2,Cooperativa de Crédito,,PR,Pinhão,,,,,I
02645093,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE PITANGA - CRESOL PITANGA,199807,B3S,I,2,Cooperativa de Crédito,,PR,Pitanga,,,,,I
04225119,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE PLANALTO - CRESOL PLANALTO,200101,B3S,I,2,Cooperativa de Crédito,,PR,Planalto,,,,,I
09825924,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE PONTA GROSSA - CRESOL PONTA GROSSA,180001,B3S,I,2,Cooperativa de Crédito,,PR,Ponta Grossa,,,,,I
